87667	6	20000101	20100101
Time_Day	APCP	TMP	SPFH	UGRD	DSWRF
0	0	9.56	0.4758	2.03	88.6
0.0416666666666667	0	7.66	0.5266	2.04	0
0.0833333333333333	0	5.75	0.5841	2.06	0
0.125	0	3.85	0.6482	2.07	0
0.166666666666667	0	3.64	0.6726	1.65	0
0.208333333333333	0	3.42	0.6981	1.23	0
0.25	0	3.21	0.7237	0.81	0
0.291666666666667	0	2.72	0.7423	0.9	0
0.333333333333333	0	2.24	0.7609	0.98	0
0.375	0	1.75	0.7806	1.06	0
0.416666666666667	0	1.62	0.7855	1.11	0
0.458333333333333	0	1.49	0.7904	1.15	0
0.5	0	1.36	0.7954	1.19	0
0.541666666666667	0	1.07	0.7928	1.45	0
0.583333333333333	0	0.78	0.7896	1.71	0
0.625	0	0.48	0.7867	1.97	0
0.666666666666667	0	2.11	0.7492	2.7	61.104
0.708333333333333	0	3.74	0.7115	3.44	192.507
0.75	0	5.37	0.6742	4.17	322.847
0.791666666666667	0	6.43	0.6387	4.54	395.8
0.833333333333333	0	7.49	0.6053	4.91	441.233
0.875	0	8.55	0.5737	5.28	416.368
0.916666666666667	0	7.99	0.5923	5.3	354.832
0.958333333333333	0	7.44	0.6111	5.32	258.568
1	0	6.89	0.6306	5.34	83.296
1.04166666666667	0	5.44	0.6779	4.55	0
1.08333333333333	0	4	0.7287	3.75	0
1.125	0	2.55	0.784	2.96	0
1.16666666666667	0	2	0.7876	2.46	0
1.20833333333333	0	1.44	0.791	1.97	0
1.25	0	0.88	0.7934	1.48	0
1.29166666666667	0	0.56	0.7855	1.26	0
1.33333333333333	0	0.24	0.7768	1.05	0
1.375	0	-0.09	0.768	0.84	0
1.41666666666667	0	-0.41	0.7545	1.02	0
1.45833333333333	0	-0.73	0.74	1.21	0
1.5	0	-1.05	0.7244	1.4	0
1.54166666666667	0	-1.42	0.72	1.38	0
1.58333333333333	0	-1.79	0.7148	1.36	0
1.625	0	-2.16	0.7089	1.35	0
1.66666666666667	0	-0.02	0.6316	1.4	60.048
1.70833333333333	0	2.11	0.5639	1.45	189.924
1.75	0	4.24	0.5041	1.5	278.69
1.79166666666667	2.3616	5.46	0.4785	2.47	341.884
1.83333333333333	0	6.68	0.4541	3.45	381.392
1.875	0	7.9	0.4309	4.42	262.432
1.91666666666667	0	7.38	0.4746	4.1	223.952
1.95833333333333	0	6.86	0.5211	3.78	163.6
2	0	6.35	0.5699	3.46	55.452
2.04166666666667	0	5.28	0.6206	2.9	0
2.08333333333333	0	4.21	0.6761	2.34	0
2.125	0	3.14	0.7368	1.78	0
2.16666666666667	0	2.81	0.7525	1.7	0
2.20833333333333	0	2.47	0.7691	1.63	0
2.25	0	2.14	0.7855	1.56	0
2.29166666666667	0	1.8	0.792	1.23	0
2.33333333333333	0	1.47	0.7979	0.89	0
2.375	0	1.13	0.804	0.56	0
2.41666666666667	0	0.93	0.8025	0.49	0
2.45833333333333	0	0.73	0.8007	0.42	0
2.5	0	0.54	0.7982	0.35	0
