49672	6	20020101	20181231
Time_Day	Precip	Temp	RH	Wind	RN
0	0	-26.44	0.061	2.112	4.75
0.125	0	-22.53	0.068	2.708	185.75
0.25	0	-17.04	0.997	3.042	308.5
0.375	0	-15.41	0.948	3.792	140.25
0.5	0	-17.44	0.395	2.218	0
0.625	0	-19.65	0.493	1.462	0
0.75	0	-20.31	0.488	1.22	0
0.875	0	-21.87	0.462	1.648	0
1	0	-23.91	0.483	1.316	4.75
1.125	0	-20.68	0.387	0.786	267.75
1.25	0	-15.84	0.692	1.99	412.5
1.375	0	-13.32	0.536	1.5	170.75
1.5	0	-14.9	0.033	0.052	0
1.625	0	-18.32	0.18	0.052	0
1.75	0	-20.29	0.396	0.164	0
1.875	0	-21.32	0.106	0.572	0
2	0	-23.2	0.021	0.466	4.25
2.125	0	-18.77	0.128	0.052	272.25
2.25	0	-14.5	0.582	1.976	399
2.375	0	-13.79	0.693	1.022	157
2.5	0	-15.26	0.151	0.052	0
2.625	0	-18.34	0.061	0.052	0
2.75	0	-20.86	0.756	0.452	0
2.875	0	-23.95	1.006	0.288	0
3	0	-26.36	1.012	0.122	4.5
3.125	0	-21.67	0.875	0.382	298.5
3.25	0	-15.7	0.435	3.102	439.25
3.375	0	-15.83	0.313	2.006	158
3.5	0	-17.17	0.372	1.238	0
3.625	0	-19.92	0.229	0.052	0
3.75	0	-20.91	0.079	0.668	0
3.875	0	-21.97	0.117	1.25	0
4	0	-23.13	0.137	1.63	4.25
4.125	0	-20.92	0.281	1.732	233
4.25	0	-16.25	0.456	1.772	355.75
4.375	0	-15.23	0.337	1.448	144
4.5	0	-16.54	0.463	0.592	0
4.625	0	-19.16	0.217	0.252	0
4.75	0	-21.92	0.08	0.284	0
4.875	0	-23.65	0.233	0.208	0
5	0	-25.54	0.725	0.052	4.75
5.125	0	-21.44	0.372	0.052	277.25
5.25	0	-15.32	0.304	1.026	416.25
5.375	0	-13.91	0.153	1.55	122.75
5.5	0	-16.04	0.13	1.532	0
5.625	0	-18.82	0.087	1.346	0
5.75	0	-21.12	0.066	1.636	0
5.875	0	-23.53	0.077	0.608	0
6	0	-25.91	0.964	0.052	4.75
6.125	0	-22.18	0.112	0.052	293
6.25	0	-16.7	0.221	0.864	443
6.375	0	-15.08	0.169	0.816	143.25
6.5	0	-18.68	0.326	0.052	0
6.625	0	-20.46	0.262	0.052	0
6.75	0	-22.88	0.694	0.052	0
6.875	0	-24.75	0.113	0.064	0
7	0	-26.95	0.75	0.052	4
7.125	0	-22.53	0.129	0.052	286
7.25	0	-16.3	0.361	1.954	403.75
7.375	0	-16.26	0.287	1.23	154.75
7.5	0	-18.9	0.43	0.214	0
7.625	0	-21.83	0.487	0.052	0
7.75	0	-23.18	0.423	0.682	0
7.875	0	-25.41	0.417	0.418	0
8	0	-26.94	0.325	0.16	4.5
8.125	0	-22.13	0.305	0.064	292.5
8.25	0	-15.32	0.31	2.358	398.5
8.375	0	-14.44	0.234	2.648	150.25
8.5	0	-16.86	0.318	2.196	0
8.625	0	-19.24	0.343	1.182	0
8.75	0	-21.28	0.338	0.708	0
8.875	0	-22.18	0.241	0.158	0
9	0	-23.26	0.216	0.58	4.25
9.125	0	-19.75	0.19	0.052	280.75
9.25	0	-14.21	0.366	0.816	446
9.375	0	-13.31	0.826	0.664	174.5
9.5	0	-16.46	0.931	1.256	0
9.625	0	-17.99	0.886	2.93	0
9.75	0	-20.42	0.804	3.998	0
9.875	0	-21.45	0.074	3.37	0
10	0	-22.3	0.021	2.888	4.5
10.125	0	-18.49	0.085	1.786	277.75
10.25	0	-13.31	0.892	0.808	430.75
10.375	0	-13.36	0.746	0.328	187
10.5	0	-17.51	0.16	0.052	0
10.625	0	-20.06	0.264	0.052	0
10.75	0	-23.02	0.439	0.07	0
10.875	0	-24.12	0.377	0.054	0
11	0	-24.99	0.302	0.074	4.5
11.125	0	-20.09	0.217	0.364	292.5
11.25	0	-15.21	0.613	2.7	406
11.375	0	-13.64	0.674	3.232	173.25
11.5	0.84	-14.73	0.211	5.01	0
11.625	0	-13.56	0.202	4.978	0
11.75	3.72	-12.29	0.2	5.77	0
11.875	0.36	-13.77	0.183	4.998	0
12	0	-15.06	0.142	4.832	4
12.125	0	-12.32	0.195	6.882	272
12.25	0	-8.08	0.569	7.342	481.25
12.375	0	-7.51	0.422	7.022	188
12.5	0	-10.53	0.768	1.556	0
12.625	0	-11.5	0.039	4.024	0
12.75	0	-12.2	0.238	4.076	0
12.875	0	-13.05	0.983	2.888	0
13	1.2	-13.84	0.991	0.052	1.5
13.125	0	-10.72	0.428	1.28	74.5
13.25	1.56	-11.17	0.616	1.206	118.75
13.375	0	-10.43	0.448	1.39	63.75
13.5	3.24	-11.77	0.621	0.502	0
13.625	0.6	-11.87	0.766	0.052	0
13.75	0	-15.17	0.62	0.052	0
13.875	10.92	-13.76	0.54	1.442	0
14	0.9	-14.38	0.283	2.82	2
14.125	4.26	-15.66	0.996	2.776	107
14.25	4.38	-17.27	0.9	3.168	171.25
14.375	0	-15.98	0.781	3.298	99.5
14.5	0	-17.9	0.223	1.638	0
